Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),30.61,17.63,36.27,306.13,18.47,21.81,25.98,29.67,31.96,34.04,34.66,35.47,36.11,5.05
HTTP Data Sent (KB),4.65,4.48,4.86,46.46,4.49,4.50,4.51,4.54,4.65,4.72,4.80,4.83,4.85,0.12
HTTP DNS Lookup (ms),0.30,0.00,2.97,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.63,2.70,0.89
HTTP Duration (excl. conn) (ms),7555.94,4290.86,8958.37,75559.41,4502.80,5350.58,6410.30,7303.43,7914.35,8408.05,8553.16,8755.77,8917.85,1265.15
HTTP Receiving (ms),7157.80,3895.61,8558.00,71577.95,4107.34,4954.27,6012.92,6911.53,7514.59,8008.20,8153.50,8355.75,8517.55,1263.50
HTTP Sending (ms),0.70,0.18,5.14,7.00,0.18,0.18,0.18,0.18,0.21,0.23,0.76,2.95,4.70,1.48
HTTP Total Time (ms),7556.69,4290.86,8958.37,75566.86,4502.80,5350.58,6410.30,7309.02,7914.35,8408.05,8553.16,8755.77,8917.85,1264.98
HTTP Waiting (TTFB) (ms),397.45,384.29,400.65,3974.46,385.25,389.12,393.94,397.78,399.34,399.70,400.23,400.44,400.61,4.65
Input Sequence Length (tokens),1024.00,1024.00,1024.00,10240.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),64.37,3.09,67.82,71577.98,61.90,63.43,63.80,64.31,64.86,65.44,65.97,66.28,66.80,5.46
Inter Token Latency (ms),28.07,15.28,33.56,280.70,16.11,19.43,23.58,27.10,29.47,31.40,31.97,32.77,33.40,4.95
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,2560.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,2560.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),37.32,29.80,65.46,373.24,29.95,30.54,31.28,31.85,33.95,36.90,43.28,54.37,63.24,9.86
Prefill Throughput Per User (tokens/sec/user),2571.32,2553.81,2627.35,25713.24,2554.10,2555.28,2556.74,2560.17,2562.53,2571.89,2593.68,2610.51,2623.98,21.08
Request Latency (ms),7556.06,4290.99,8958.47,75560.63,4502.93,5350.71,6410.42,7303.68,7914.44,8408.15,8553.25,8755.86,8917.94,1265.13
Time to First Output Token (ms),398.26,389.75,400.97,3982.65,390.25,392.28,394.81,398.15,399.60,399.97,400.51,400.74,400.92,3.22
Time to First Token (ms),398.26,389.75,400.97,3982.65,390.25,392.28,394.81,398.15,399.60,399.97,400.51,400.74,400.92,3.22
Time to Second Token (ms),7.70,3.09,9.15,76.99,3.45,4.88,6.66,7.38,8.38,8.52,8.90,9.02,9.12,1.66
Tokens In Flight (tokens),1145.39,0.00,1280.00,,,,,,1146.13,,1252.14,1265.83,1275.95,81.41

Metric,Value
Benchmark Duration (sec),75.59
Input Token Throughput (tokens/sec),135.44
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),33.86
Request Count,10.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),10240.00
Total Output Sequence Length (tokens),2560.00
Total Output Tokens (tokens),2560.00
Total Token Throughput (tokens/sec),169.30


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
